Initial Text,Completed Text
A man,playing bagpipes.
A redhead boy with blue shirt opens a birthday card with other,children around him and a table with gifts.
"One Caucasian woman walks among an ethnically diverse group of pedestrians, crossing",the street during the day in an urban environment.
A lady in a brown jacket and brown shorts lays with a,man wearing khaki shorts on a grass landscape.
A man and woman are on,a gray and white rowboat.
A group of boys,are in the street.
A young boy covered in ink stands,in front of a white door.
A small child wearing jeans and a football jersey is,wearing a clothing hamper as a hat.
Man with black vest lines up a,shot on a blue pool table.
Two men lift a brown dog up so it can grab a,large blue rope hanging down a black wall.
"A dog standing in sand, holding",a tire in his mouth.
A male driving a bulldozer to,plow green grass and rocks
An older man stands in a white tank top and,"blue jeans, holding something to smooth down concrete."
A woman talking on,a cellphone near water.
Several teenagers are looking over a,railing in a dark room.
female ballerina doing a pose up on her toes of foot,in a large room with a red floor.
A young child is putting his head through the,hole in a large plant photo-op board.
A person in a black,hat slurps up pasta.
Three men in combat uniforms are sitting on bricks,with a tree in the background.
A man and a child kicking a,yellow ball in an open field.
A redheaded woman is dressed in a brown and white outfit with a matching headband and,heavy makeup while looking startled in front of a brick wall.
Soccer player in red dives toward,"ball, blocking player in blue."
A young boy,is sleeping.
Two men at a baseball ballgame one who,is preparing to catch the ball.
Woman tennis player wearing a light blue tennis outfit winds up to,hit the tennis ball as the crowd watches.
Person sitting and leaning back against white house while,dog sits in front of him
Elderly people in a nursing home playing some sort,of party game involving throwing a ball.
Two gentlemen outside,beside a log.
A bearded man wearing a bandanna with skulls,on it is holding a camera.
Children riding on a camel by,a body of water.
Children in summer clothes play on a,turnaround in a sun-dappled park.
A photographer eyes his next subject,in a garden of tulips.
A man sits on a stool as another paints,a graffiti piece on a wall.
Ladies talking in,an airport.
A little boy playing,baseball outside wearing flip-flops.
A man sits at,a computer and types.
A older man wearing a,hat while shining shoes.
A man holds a basketball while he leaps through the air to put the ball,in the hoop while many people watch from the stands.
A sports team all dressed in blue,huddles on a sports field.
Three men talking,in an establishment.
A child is throwing a,baseball into a net.
One child reading and one child,resting in a room.
A construction worker in an orange,vest drilling in the ground.
There is a dog,running along the beach.
Two men dance together while a,crowd cheers them on.
"An older person, sex indeterminate, visits with two",spotted rabbits in a large cage.
Several adults and children rioting,for smaller class sizes.
A man in a blue jeans painting a picture,hes looking at on the floor
A surfer in a green striped,wetsuit rides a wave.
A woman plays bass and sings with her bandmate with is a man,playing guitar and the drummer plays in the background.
A young boy pretending to steer,a wheel of a ship.
A man wearing a dark scarf and pants,stands in front of a shop.
A woman wearing a green hooded sweatshirt,picking food from the bin.
The brown and white dog with a,green collar is biting a stick.
A male wearing yellow pants catches air as,he snowboards down an empty mountain.
A couple stands outside with an,umbrella and a bicycle.
A small girl sliding headfirst down,a shiny red slide.
A group of guys set together having a,good time while enjoying a drink.
A man in a blue unbuttoned shirt is walking through a,local street market that is selling various fabrics.
Man dressed in black and white holds his tennis,racket up waiting for the ball.
A surf-skier in a red and black,wetsuit goes inverted over a wake.
Two men are,playing Basketball
A teenage boy doing a skateboard trick while another boy,rides on a skateboard in the background.
A man rides a skateboard up a sloped,concrete surface and into the air.
A man hitting a red ball with,a bat while running in grass.
"A woman is holding a toy snake, she is on stage with a guy speaking through","a microphone, and a man in clown makeup holding a guitar."
"two children, a girl and a",boy are practicing their writing.
A person wearing shorts looks down at a anvil,on top of a wooden barrel.
A black and white dog is,running through a cow field.
A brown and white and a black and white dog,hauling in a floating toy from the ocean.
A man on horseback in a rodeo arena is,trying to lasso a black calf.
"An elderly woman dressed in a jacket, gloves and sunglasses is",pushing a basket on a busy city street.
A man wearing glasses and a black shirt is seen,behind a series of gray mesh-like panels.
An older gentleman tends,to his net.
Two African men converse while selling hot chocolate and,Christmas trees on a city street.
2 young men in white tank tops and,"basketball shorts, one holding a basketball."
A redheaded lady sits in front of,people while showing them crafts.
An old lady is sitting next to a Christmas tree with,"a lampshade on her head, opening another present."
People stop and look at,an older woman outside.
Two men riding on a motorbike,in an Asian community.
A man is walking a pig on a,rope leash down a dirt road.
A man is speaking to a group,of people in a classroom.
Two women undressing and,frolicking in the water.
A city street crowded with pedestrians outside,a building with illuminated blue words.
"There are five skiers, with","backpacks, in the snow."
A blond woman in a gray,dress crossing the street.
Two dogs are running,in a grassy field
A woman sitting down to have a,meal is being pointed at.
Two boys hanging off,a tire dock.
A lady sitting on a chair with,black hair on her cellphone.
Five elderly women sitting around,watching and elderly man.
People stand around,Conna Store.
A truck driving along a beach,near a flock of seagulls.
Man with hard hat,talking on phone.
A boy in a red hat is sitting,on a log in the woods.
boy sitting on ground with a,pink balloon on his head.
A young boy and girl in swimsuits are playing,with a volleyball at the beach.
Three children are playing paddle,ball on the beach.
A mother in a pink outfit,hugging her child outside.
"Tree in the foreground, two men",playing golf in the background.
A race car driver with an orange helmet sits in,a team Penske Indy car at the raceway.
A group of people walking,down a city street.
Man in scrubs yawns next,to a medical device.
"During a football match, a player in a green and gold uniform is tackling two members of","the other team, who are dressed in white, black, and blue jerseys."
"Two teams, one wearing black jerseys and the other wearing","white jerseys, are on a football field."
a black lab jumps,into the air.
Woman coming out from a building,in an Asian city.
"An old man, sitting on a","bench, watching traffic go by."
A little girl is swinging in a,baby swing on the playground.
A person is drawing body,art on someones arm.
A man and a girl are,taking a walk together.
"A young boy watching with great interest, two people",using a saw to cut some metal.
2 police officers at a suburban home taping off,a police area with yellow tape.
A man standing in a kitchen with,dishwasher and silverware drawer open.
A man in a black wetsuit riding,a medium sized ocean wave.
A group of people in a living,"room, playing a board game."
Lady in sunglasses lying down with,her head on a backpack.
Rolling out dough with,a wooden roller.
"A man, dressed in white and wearing a","red cap, plays on the grass."
Two women wearing headdresses in a sandy,area look to the left.
"Two men wearing suits and glasses are talking to each other, while",one of them points his finger at the other.
Girl with floppy purple hat at,intersection in big city.
The number 3 soccer player in a red jersey holding,a yellow ball at the side line.
A woman is performing with a guitar in the,middle of a crowded space outside.
The boy in swim trunks is laying,face down on a watery pavement.
Two men stand in front of,a large green truck.
Two girls sitting,in a bar.
Five girls are leaping simultaneously in,a dance practice room.
A woman holds herself as she,hikes in mountainous terrain.
A black and white dog is,going through an obstacle course.
A group of nurses are,looking at some toys.
Girls wearing costumes stand,"around, one smiles."
A crowd of people waving red flags,are passing under a bridge.
A man is on top of a,cliff overlooking a forest and lake.
A group of young girls,walking down a street.
A man is unpacking a,cooler filled with food.
Man in gray and,blue coat blows bubbles.
A group of young men and women,walk down a busy street.
Two little girls jump,above the floor.
Person standing upon a,log in the forest.
A woman carried a cake ito the room with three candles as another woman,"holding a flute glass of wine, holds up her hand."
A grocery store clerk is checking out groceries being bought,be a woman with an injured hand.
A woman walking next,to a building.
Women showing a child how to,solder a piece of metal.
children smiling,with facepaintings
A ban in a gray swaetshirt picks,out greens in a supermarket.
Four people are sitting,on the wall.
A native woman is working,on a craft project.
There is a man in a body of water with some sort of,"net trying to catch something, the water looks very muddy."
A woman in a white blouse and gray skirt holds a white,umbrella over her head on a sunny day.
A beautiful woman is posing for,a photo by a plant.
"Several people sit on a crowded subway, while two woman",stand in the middle holding the poles.
Hockey players scramble in,front of the goal.
A man is holding a bottle of Mountain Dew to his mouth in a,comical expression as a toy spider sits on his keyboard.
A man is diving off,of a high surface.
Little boy standing,on some rocks.
A girl in a black coat,looks at a camera.
"A man with long blond-hair, sunglasses and a cowboy hat sits",on a milk crate and plays a guitar.
Two men and a woman looking at,pictures in a tattoo parlor.
The street vendor cheerfully sells food to,a crowd of hungry customers.
A small girl in a parka,and cap is shoveling snow.
A man with braided hair and a beard is standing in front of,a building and is talking or singing into a microphone.
"A group of people, holding drinks",are standing around talking.
A guy riding a,bike on a track.
Two people wearing black leather and carrying bags walk hand-in-hand through a,"railroad station, their attire adorned by skull imagery."
"One man and one woman in the field,",guiding 2 cows through the fields.
The girl in a pink shirt,jumps high over the grass.
Two workers help customers at the,Sonoma Artisan Sourdough Baker stand.
A baby is sitting on and,playing with smooth rocks.
A young girl wearing screen printed teal tank top and white embellished summer pants walks,up a sidewalk path while carrying an orange lunch box.
A girl in a white dress,high up hanging from straps.
A man kissing a boy's head while sitting,in the back of a vehicle.
A man rests a silver-colored metal disk on a rock surface as,he works on the back side of it.
A man surfs,in the water.
two brown dogs are running on,the beach beside the ocean.
Band performing at,a show.
"A young man with a red beanie cap, green shirt, and blue","jeans, sits on his skateboard as he watches."
Three little kids in a open,field looking towards the sky.
A woman in red and white sports a soccer,themed hat displaying the flag of Switzerland.
"A man who bears the number 53, competes",in a race in the snow.
"Two foreign women, both wearing black,",selling different types of foods.
A tanned girl wearing sunglasses is,looking to her side.
Three women are sitting in front of computers while people,stand in front of them with small papers.
A young man is,washing off his dishes.
A crowd watches the start of,a drag race at twilight.
A girl in a yellow headscarf is,pulling a boat to the water.
Many men in blue uniforms,are walking in formation.
A black dog runs paralell to a,wire fence in a grassy medow.
A man wearing a blue shirt and a hat is riding a,brown horse on a tree lined dirt road.
A man on an orange bike jumps in the,air with the city line behind him.
A man in white and blue racing gear rides a stationary bike,in front of a judge and an audience.
a woman wearing yellow bikini bottoms is holding a,medium sized net on the ocean shore
A bald man running on a treadmill in,a white shirt and striped shorts.
A man in a red shirt with a black beret with peppers,printed on it is applying ketchup to something.
A smiling man with a beard holds up a poster showing an,abstract elephant cartoon painted in horizontal rainbow stripes.
Two young boys wander through a,crowd wearing bright yellow shirts.
A little girl in a dress and boots is holding a,lolly pop and posing next to a fence.
Six men in orange vests and,hard hats on a ship.
A man pulls on a,rope in the country.
A man waits on a subway platform while,train is pulling into the station.
A bald man wearing a Native,American costume is dancing.
Several people are shopping at,an outdoor farmers market.
Two people in outwear are using telescopes on tripods to view items in an urban area during,the daylight while other individuals are standing near this group of equipment.
A seabird is,flying over rocks.
Two men stand on a pier next,to a teal colored watercraft.
A black dog is trying to run with,its legs buried in the snow.
A little girl in a yellow,shirt holding a big snail.
A woman in black is,leaning on a wall.
"A young, white boy standing alone in a yard in autumn,",using a leaf blower to clean the yard.
A skateboarder does a kickflip,along the train tracks.
A older model blue van being driven with a bunch of items strapped,on the top of the roof of the van.
Girl in red and black shirt sitting in front of,a keyboard performing with other band members.
Two ladies in white are walking,past a golf photo.
Plenty of children in red robes,staying together in multiple circles.
Small dog running,through a field.
Two men are using tools cutting,into a green trailer.
Man reading book on the deck,with lots of trees around.
"Two dogs walk in the snow, the larger dog",has a fish in his mouth.
A baby is looking quite tired as,she sits inside a luggage bag.
A small boy wearing baseball regalia holds a bat behind his head,with a baseball mounted in front of him.
A group of,people locking arms.
Young girl in,tunnel slide
"Two people in black outfits, surrounding themselves",in black balloons in a desert
A group of women in the,mist of a dance practice.
A man does a bike trick,on a dirt path.
Three boys with arms,around each other.
Woman looking out the,window at a man.
A man working at a,carnival game is yelling.
Young male walking past,a construction worker.
A BMW rider makes a fantastic,jump as onlookers marvel.
A man is lighting a smoke,outside of a building.
A bull charges out of the,gates at a rodeo.
Man holding broken,glass toward camera.
Factory workers standing in uniform,next to their product.
A shirtless man with a hat,works amid metal objects.
A man looks into a barred,hole in a hill.
a girl paints,the road.
A dog wearing a red cape,runs quickly across a field.
a girl looks at,a woman's face.
The scantily clad cowgirl climbs over the barbed wire fence to get,away from the two threatening people on the deck.
Two men on horses are trying,to lasso a bull.
Two blond women sit outside as people walk by,wearing casual clothing and some wearing bookbags.
"A female boxer in a pink sports bra is mid-kick, in the",ring with a female boxer wearing a red t-shirt.
"Having fallen on his upper back, a football player wearing a black jersey and white pants with an orange","and black stripe, flanked by two players in white jerseys, clasps a football."
There are three children watching,something on a screen.
A woman in a pink shirt and patterned skirt plays a violin beside a man wearing track,pants and a black hat playing a black guitar on the street.
Man building something in a murky,"river, while wearing a hat."
"There is a driver in back, soda bottles in front,",and a blue barrel in the middle.
A man pours a,beer at a restaurant.
This person is,pointing at something.
Two firefighters are standing,next to a firetruck.
A black dog in a grassy,field fetching a colourful toy.
A couple are celebrating,their wedding day.
A rugby player in dark gear is carrying a,light colored rugby ball with arm outstretched.
The girl in a pink top is standing next to a red,tricycle looking like she is about to cry.
A man and two woman are riding,around on a motor scooter.
the young boy takes a,swing at the pinata.
A man and a woman musician,practicing on a well-lit stage.
A hockey goalie is trying to prevent,a goal from the opposing team.
A surfer gets air,while others watch.
A lady in white face paint waits,to have her photo taken.
A group of women breastfeed their babies while,sitting cross legged on the ground.
A little girl with a backpack sitting,down looking at a book.
A man is spinning in the air above a,pool in front of an empty stadium.
Two horses are pulling a wagon,covered with a white tarp.
The three people are walking on the,"seashore, which is covered with seaweed."
The boys are having a night out from homework; some,are at the table while two are sleeping.
A man in a yellow shirt inspects,jewelry at a jewelry store.
"A figure in a blue coat, hood pulled up, stands waist-deep",in water and draws back a fishing pole.
Some children stand,outside a building.
A man and woman are walking while,two other women are sitting.
Man standing by the side of an over flowing garbage,"bin, with random items scattered around the bin."
Two kids dancing at,a dance recital.
People walking down the street and,past an open bus.
A man wearing sunglasses is,asleep in the car.
A young man watching a woman perform on stage in a,cream costume with black boots and feather headdress.
A crowd of,people standing together.
Scene girl with batman belt,and black leather jacket.
One young man kicks another young man in,front of a two story house.
A cook displays the,grilled meats available.
A red-haired girl,holding an animal.
A woman with her middle finger,up in the air.
Young boys and,girls playing soccer.
Two female dancers in,matching uniforms dancing.
A lady in a yellow,shirt running a race.
A young boy in a white T-shirt and shorts fishing,at the bank of a small lake.
A large number of people are sitting in metal,chairs watching a man in front.
The boy is swinging on a,pole at the beach.
A seamstresses works to fit model,mannequins in her darkened studio.
A motorcycle is parked along side a mountain road,while another goes down the road.
A group of guys gathered and,drinking at a bar.
A small girl in a white rain slicker,is walking in front of daffodils.
A man wearing headgear and boxing gloves is training,with a woman wearing only boxing gloves.
A woman in an orange jacket,sits on a bench.
Young adults using guns and,spotting scopes at gymnasium.
Group of people in orange vests paint,the ceiling of a railway.
A man skis past another man,displaying paintings in the snow.
Woman in pink top riding a bicycle along side,a man jogging along the waterfront.
A boy is posing for a,photograph on the beach.
A person in a wheelchair looks at,a large painting on a building.
A man peering through his binoculars looking,at something over the horizon.
"An Asian woman, shown from behind, plays what appears to be","an oboe, but is positioned as a flute."
Man in American Flag print,"shorts, hat, and shirt."
An elderly male wearing a white Wal Mart smock with his,arms and hand extended in front of him.
Two young men are playing with a,soccer ball on wet sand.
"Two girls are wearing pink, one has design print on her pajamas, and the other one is just","plain pink while, holding each a bed and table from a dollhouse."
A man in a green t-shirt walks down,"a beach, carrying his tennis shoes."
Four people wearing snowshoes jumping on a snowy,mountain with trees in the background.
Employees at a sushi restaurant prepare,for dinner time rush.
A man dressed in all,black holding a pole.
A man in a plaid shirt with a laptop in his lap is sitting next to,a table with a microscope and a circuit board on it.
A girl with a uniform standing on a sidewalk with,something red and blue in her hand.
A skillful construction worker sits high on a ledge while using a,circular saw to trim wood to the precise size.
The two large people are sitting,outside on a bench
Two men in blue shirts and,six women in a ballet.
Two ladies in skimpy clothes pose next,to an old fashioned car.
Two men are competing for the ball,in a game of soccer.
Two men carry out daily tasks,in a food market.
a street filed with people,standing and sitting down
A white dog carries a yellow,toy while another dog follows.
A person riding a motorcycle,is dressed in orange.
rodeo contestant on horse,flying american flag
An elderly man with his hands placed upon some,kind of barrel in a truck yard.
A little girl in a pink shirt,takes a swing at a t-ball.
A furry black dog in a backyard,carrying a basket in its mouth.
Two people in white hats look,at a computer screen.
"A man and a woman are sitting together in the dark, looking",ahead at a city view in the distance.
"Individuals in uniform, some camouflage and some yellow, dip",silver apparatuses into red and blue buckets.
"A man with a hat and long gray beard, wearing","cross, is holding a napkin and striped box."
Several people are gathered to buy,things from a small market.
The young child,waters the plants.
A man stands in front of a,slide show and gives a presentation.
A little girl sitting in,a small chair outdoors.
little girl is on beach,and playing with sand
A rugby player is running with the ball,as a defender moves to intervene.
a crowd of people outside of a building,with large yellow writing on it
A young girl dressed in pink with a hair barrette,pursing her lips at a big chocolate milkshake.
One woman sitting on a sidewalk with others,to the side and behind her.
"A small blond girl sits in bed looking at book that has the words ""Crash! Bang! Boom!"" on",the front of it while she holds a cup in her other hand.
Group of children playing soccer with body,of water in the background.
construction workers are working on,a project at night.
A woman with black hair and a,red plaid apron preparing food.
A group of children and adults play in,a pool on a sunny day.
Two people overlooking a body,of water are embracing.
A group of people walking out,of a train station terminal.
A woman in black,shirt and pants dancing.
An elderly woman with a white and red,scarf and red coat is smiling.
A Celtic marching bands performs on,field during a soccer match.
Man in red and white soccer uniform stands on the field,boundary lines with yellow and blue soccer ball.
"Gray-haired black male, wearing a white jacket and black","pants, sweeping up a sidewalk and pothole."
Little boy sitting in a green tunnel,with a smile on his face.
Two men are at,a construction scene.
A man with a cart walks along,a wall covered in graffiti.
Military men are getting,ready for their duties.
People waiting to get on a,train or just getting off.
a girl in red,shirt playing a game.
Asian people dressed in costumes and,some holding orange signs.
Two children dressed as clowns on,ropes performing with other children.
A little boy chases,ducks through the leaves.
This man is looking at shirts in a store,where the language is not English.
A young girl is blowing,dandelions in a field.
Several armed forces officers and civilians are,standing around a children's playground.
A football player running,on the field.
A man waves from an old firetruck,as he drives past crowds.
Two men pose,with their motorcycles.
Many people are sitting in a street side cafe at red clothed tables in,front of a tall old building with arches and statues.
The blond girl is jumping,up in the air.
A little girl in a pink bathing suit jumps up,on a sand dune at the beach.
A person cuts paper in front of,a table lined with decorated bottles.
two people are talking on a,bench beside the street.
An African-American man in a dark jacket walks past a iron,fence with gold accents that encloses a park.
An older woman is lying,down in her bed.
A woman in a red shirt and purple hat carries a,blue container full of items on her head.
A man in a,blue shirt is stretching.
A man sticking his tongue at a,woman close to her face.
A group of people waving to,a person on a balcony.
A little girl with flowing long hair is looking,at the leaves on a bush.
Two dogs in the water,fight over a stick.
Two very young boys and an adult are playing with big preschool Legos and a red dish-shaped play cushion,that's filled with balls on a white carpet in front of a gray couch.
A man wearing a pin-stripe shirt and eyeglasses converses,on the telephone from his cubicle.
A woman is getting her hair,done at a salon.
"A group of people inside a church, some of them",are staring at a man standing up.
A black or mixed-race man wearing a denim jacket and baseball cap is holding one arm in the air and with his other hand is holding,"a microphone to his mouth, but he is not saying anything at the moment the picture is taken."
Three dogs are behind a rusty,fence as one barks.
Two greyhounds with muzzles race along the inside,curb of a railed dirt track.
A shirtless male runner,with long red-hair flexing.
An older man holding a green bag waits,until safe to cross the street.
"A short, furry dog stands on a brick floor in",front of a group of potted plants.
A choral group singing at a,church of some kind.
Two children wearing Giants clothing,are playing with laundry.
An oriental man walking,a 3-wheeled bicycle.
A man is splitting wood on a snowy day,in the driveway to a white house.
A snowboarder in green is balancing,on a wodden bench.
Two men in underwater breathing suits are underwater with,another person not in a breathing suit.
An army of men,wait inside a convoy.
A woman is wearing a green striped,shirt and a brown skirt.
A woman looks at a book in,a bookstore while holding a baby.
Two men are on what looks to be a,boat fishing in Japan or possibly China.
Two men in black clothing posing for,a picture by a colorful building.
Two men are standing in a,dark alley at night.
a woman performer on a,stage with a microphone.
A man is floating on a small,boat down a city water street.
The large brown dog is walking,through the green grass.
A white and brown dog,runs in a field.
A young woman with a black,shirt and jeans sweeping.
"A mother inspects her young daughter's clothes, which appear to be a costume","of some sort, on the front lawn of a house."
a young boy jumping from a bunk,bed on a smaller bed.
A young woman with a black purse,sits on a wooden bench.
A woman and two children sit,on a sofa outside.
A lady is reading the newspaper,in a red chair.
A woman cleans chickens,on the street.
These women are collecting dirt,for some unknown reason.
Small children playing with hula hoops,in a large room.
A child climbs to the,top of a slide.
A male airborne,on a bicycle.
A young boy in a striped shirt,running down a sand dune.
A baby that was just born in the hospital being,taken care of by a doctor and nurse.
"Four cheerleaders in white, gray, and orange uniforms",tossing a fifth into the air.
A little girl plays with the,tire swing at the playground.
Asian men waiting in line many,with earphones in their ears.
A man in a helmet rests on,rocks next to a climbing rope.
"Outside by the trees, a woman wearing jeans and red jacket",throws something for a German shepherd to chase.
A child wearing a shirt decorated with,Elmo's face holds a red ukulele.
"Posing with their much loved guitar,",a couple smiles joyously.
A elderly women sitting in a coffee shop,wearing a jacket reading a book.
Asian baby wearing a sweater and sitting in a,highchair playing with a SpongeBob toy.
a woman and man at a desk with stacks,of cash or currency around them.
A man is doing some kind of,maintenance work on a train.
a man dressed in a frontier,uniform is holding a rifle.
Two young women in black pants and white shirts,sit on an electrical box and talk.
"A young male in a hat, green shirt and black pants is riding his skateboard at the top","of a ramp, with a lot of palm trees in the background."
A boy riding a zip line and,another behind him waiting his turn.
An older man with glasses in a white,coat overlooking medical or scientific equipment.
A man in shorts visiting a,touring stop in the country.
A young girl in a light blue dress scares away a flock of seagulls as,she runs towards them on the shoreline of a beach.
A woman holding a,tray of liquor shots.
"People boarding a blue,","white, and gold train."
A small group of people with their camels are,resting outside of a small village.
A native girl in a green,shirt readies a slingshot.
Little kid jumping,around house playing.
"A pile of seaweed sits on the sand, behind it a",big black dog is running in the water.
A Asian guy is making,something out of metal.
Woman in shorts and t-shirt standing by some seated,men and watching a performance or speaker.
a man playing with two black,dogs on the beach
A person is flying through the air on a snowboard,as the wind picks up some snow.
A male child in a winter coat on a,round blue sled in the snow.
Man in a black shirt talking to a,man in a red baseball cap.
"A woman, dressed in a dark tutu, striped socks and heels, leaps",in the air while holding a pink balloon.
A panned back shot of some children playing soccer on a makeshift soccer,field with a city and mountains in the background.
Two young women proudly pose with,the snowman they completed.
"A person in a blue kayak,",paddling over rough water.
A man in black is purchasing something,at the register in a store.
Two bikers taking a break sitting on,the grass with their hats on.
women in purple outfit and man with,red shirt using red teeter totter
A man on the side of the road leaps in,the snow with the ocean in the background.
There is a sale going on at,Target and all are going there.
Man standing by,9-11 poster
A goth teenager eats,a Filet-o-Fish from Mcdonald's.
A woman looking,outside a window.
A guy in an office is,fixing the coffee maker.
They are dancing,in the streets.
Two officers are riding horses in the,city near some trees and flowers.
A man is on,a roof doing construction.
A boy with swimming trunks and goggles jumping,on the sand by the beach
A woman holding a small baby is standing in the shadows,of a large statue of a religious figure.
"A biker, with a blue helmet,",reaches for his bag.
"A man and a woman, both in white hats, khaki",pants and dark jackets are crossing the street.
A young cheerleader,is cheering
A man in blue fixing,some type of machine.
A man in a green shirt is,jumping a ramp on his skateboard.
A guy seems to be getting a lot of love as he poses in front,of a lighthouse with a suave demeanor across his face.
A man is sitting in a,chair by a lake.
The dog is standing outside,on a tree stump.
A man playing a musical instrument,in a low lit room.
Students practicing yoga in,a class setting.
A warmly dressed man stands with a carving station on,the street in front of his rotisserie machine.
A group of people,are painting eggs.
A woman wearing a crown on her head stands,out from the crowd at a park.
A man using a scrub brush,on a floor while crouching.
A flautist in a black shirt and,green army hat plays on stage.
A man in a suit and a,cat resting on a red couch.
"Women, who appear to be part","of a dance troop, point."
3 Asian men are playing a game of Mahjong at a table,in front of a building with advertisements on it.
A skater in a black,tee demonstrates a trick.
A small crowd of people looks on as a,man performs tricks on his BMX bike.
Two girls wearing pink have their hands in or near a fountain in,a shopping complex where people throw coins in it.
Black man playing his guitar,on the street corner.
Two young boys playing soccer leaping in midair,as they vie for the ball.
Many men watch a cowboy,ride a bucking horse.
A barefoot man walks,across a tennis court.
a man and woman standing underneath,the tree are talking.
Two young men are fighting with each,other in a martial arts competition.
A well dressed man with a smile on his face walks past,a piano with a saxophone in his hands
A woman teaching a young girl not,to be afraid of puppies.
Four smiling people,are building something.
A hiker is pointing,towards the mountains.
"Several children in outfits are in a dark room, and two of",them are holding onto ropes in the air.
A man is outside and,pulling on his arm.
A gentleman selling,banana's and grapes.
People are watching as a blue car is hanging,over a bridge that crosses a river.
The person wearing earrings is,wearing a feathered hat.
A boy in a tan jacket,plays a black piano.
Two African American men competitively,racing on a track
A man is being lowered,out of a helicopter.
A male and two female hikers pose,in front of a mountainous landscape.
Girl with long brown hair sitting on,"grassy field, painting picture on canvas."
A woman in what appears to be,traditional garments is performing a dance.
"Two wet, black dogs are",running through some sand.
A little girl with blond-hair is wearing a dress,"and a hat that says ""Birthday Princess."""
Several children in white shirts run,their fingers through a railing.
People walking down,a cobblestone street.
A football coach,holds a headset.
Two people walking,across a street.
A man in a yellow shirt is,on a roof hammering in shingles.
A woman wearing a brown coat,is looking over the ocean.
A man playing with a small,child in a pool.
A man wearing a gray suit,is delivering a speech.
A construction crew works,on demolishing a building.
"A young, blond boy in a Transformers shirt raises both hands","in front of him, showing all 10 fingers."
Two people ride together,on a black motorcycle.
A boy in red pants getting ready,to slide down a metal slide.
Two men wearing a hat are,holding on to their bikes.
A small boy playing,with a wheel.
A pair of guys,in black pants running.
Man wearing black shirt bent over using,a saw to cut through stone.
A dog wears,a pink sweater.
Shoppers and walkers add vibrancy to the street on,"this pleasant, warm day in the city."
A skateboarder wearing blue jean and a gray shirt performs,a stunt along a graffiti colored wall.
Several people are enjoying a,walk along the waterfront.
A woman in a winter coat riding,a bike down a city street.
Eight young women perform a cheerleading,dance on a court.
People walking around at,a downtown festival.
Boy swimming in,blue pool.
Two smaller dogs and one larger dog with a puffy,white tail are playing in a field.
A child holds another child,while on the ground.
A woman in a black dress,jumps on the grass.
A view from the top of a skateboarder,at the top of a ramp.
A woman wearing a hat and red scarf,stands among others wearing similar clothes.
A little girl in a pink,shirt is wearing a mask.
The girl is rolling up a,large bundle of wool.
"A brown and white dog, wearing a","collar, is moving through some water."
Two asian women preparing food while,a young man watches.
two dogs,play together.
A man and a woman with three,bikes and a silver car.
Numerous people are waiting in,line on a stairway.
A girl in a white gi with red gloves and a red belt,holds her chin while an older male looks on.
A brown dog wearing a key,is playing in the dirt.
A man doing a,trick on a skateboard.
A young boy tried to lift a,heavy pumpkin in a pumpkin field.
A man in a bandanna is,facing girls in blue shirts.
Two men in glasses dressed,as native americans smiling.
Several people wait outside at,the local community event.
One person kayaks as another,kayer sinks their boat.
Four children are playing,by an outdoor fountain.
"Baseball player in red shirt slides into a base,",as another player in blue tags him.
People watching a person with many,inflatable things for sale.
Doctor is performing,a surgery.
Three students standing together in,front of a stairway.
Factory workers are steadily,completing their jobs.
A girl wearing a black t-shirt is holding a,small pizza in a kitchen setting.
An old man with a long beard,works a tool on his farm.
A fluffy dog holds a stick in,its mouth on a beach.
A man and a woman sit outside- The woman is wearing a fur,coat and the man looks professional with a tie.
A man with no shirt works,on a conveyor belt.
"Old lady crossing the street,",while getting rained on.
A woman with a yellow jacket and matching hat,watching as people walk by her.
A man is sitting on the sidewalk,next to his shoe-shining station.
This man is skiing in the white snow and,going through a course of some kind.
Man with a musical instrument,riding on a subway.
A man wearing a white uniform cuts a tree,in front of a white house.
Two young women playing around with,a animal toy together
2 men in safety vests haul a hose,out of a body of water.
A girl goes down,a red slide.
A female worker is standing behind a table that,says London 2012 above the Olympic rings.
A brown pitbull licks its chops as it waits for,the empty food bowl to be filled.
A man wearing a heavy coat is listening to,an MP3 player while on a bus.
A man is singing,and playing a guitar.
Asian child tries to,fly a kite.
a small kid swinging,on a tire swing
A teenage male wearing red shorts and a gray tank top is standing on concrete and pointing to,a brown basketball which has the words True Grip written on it.
A young girl is swinging,with her arms outstretched.
A person is watching a TV,screen and wearing headphones.
Five Asian people are working,on arts and crafts.
The man is pointing his finger down,while two ladies look on.
A male and female dancer pose on stage,in front of some costumed women.
"Three men are playing rugby, one man is attempting to tackle the man",on the opposite team who is holding the ball.
A contact juggler performing,on the street
a girl wearing pink,does a handstand.
A number of people are standing,around a large spherical object.
Two young girls making upside down,cupcake shapes in the sand.
A boy is skim boarding in a backyard,pool while two other men watch.
People with digital cameras are crowded,in a small area.
"WWII Victory Day parade with soldier marching down street,",dressed in vintage gear and holding rifles.
A man playing volleyball,on the beach.
Someone's legs are in frame running,over a beach shore.
"A woman, wearing a gray coat, places clothing into",a washing machine at a laundromat.
The beautiful lady is walking,with the crowded people.
Two boys are kicking a,ball in shallow water.
A spotted dog catching a ball,on a snowy field.
