index,Xi,Xj,model
390,Two black and white dogs,were playing in the park,qwen2.5:latest
391,A young boy with black hair and tie-dyed shirt and jeans and an older man balding,walked down the street together on a sunny day,qwen2.5:latest
392,A man is carrying a little,boy on his shoulders.,qwen2.5:latest
393,A man wears white socks with beat up,A man wears white socks with beat up sneakers anyway.,qwen2.5:latest
394,A female softball player wearing a pink jersey is trying to tag out,the runner at the base,qwen2.5:latest
395,A young woman wearing a white dress with a blue towel in her lap is,sitting by the poolside on a warm summer day,qwen2.5:latest
396,A person in a gray hat and navy jacket is standing outside of a shop with,an uncertain expression on his face,qwen2.5:latest
397,an ice climber in a blue jacket and black,pants stood on a frozen cliff face.,qwen2.5:latest
398,A man in shorts visiting a,museum during an exhibition,qwen2.5:latest
399,An elderly outdoor market vegetable vendor sits with,his basket full of fresh produce in the morning sun,qwen2.5:latest
400,A man and woman pull their wheeled luggage down,the airport terminal hallway,qwen2.5:latest
401,A middle-aged couple is at the foreground of a scene,posing for a wedding anniversary photo,qwen2.5:latest
402,A girl looking through a large,binoculars found her target.,qwen2.5:latest
403,Gymnast in green and black supporting herself upside down with her arms,on a single bar,qwen2.5:latest
404,People are having leisure,time by visiting museums or parks.,qwen2.5:latest
405,A red-haired girl poses in,a playful pose for the camera,qwen2.5:latest
406,Nine black and brown pugs in harnesses,were out for a walk in the park.,qwen2.5:latest
407,"Three men, one with a fishing pole,",were likely looking for some tranquility by the lake.,qwen2.5:latest
408,A man with a backpack pushes a stroller while,walking through the park,qwen2.5:latest
409,Two women talk while standing,in the rain,qwen2.5:latest
410,"A man in athletic clothing, bending",over to tie his shoelace on the side of a running track.,qwen2.5:latest
411,A dog jumps and,catches a frisbee in mid-air,qwen2.5:latest
412,A young boy and a young,girl were playing together in the park.,qwen2.5:latest
413,people are looking at a street artists,because his performance is mesmerizing,qwen2.5:latest
414,A boy in a red coat is,standing in front of a candy store,qwen2.5:latest
415,A man in a black shirt mans a sidewalk cafe,at a busy intersection,qwen2.5:latest
416,a lone climber on,struggled up the steep cliff face,qwen2.5:latest
417,Two girls doing a demonstration in,the streets for environmental awareness,qwen2.5:latest
418,a group of policeman in front,of the building signaled for everyone to disperse.,qwen2.5:latest
419,A person looks out of the,window at a rainy day outside,qwen2.5:latest
420,A child blowing,out on a dandelion,qwen2.5:latest
421,Military men are getting,trained rigorously to handle various situations.,qwen2.5:latest
422,A man with a towel on,his head walked into the bathroom,qwen2.5:latest
423,A shirtless man wearing black pants is breathing fire in the,firewalking show.,qwen2.5:latest
424,Two scuba divers are diving underwater and,they discover a sunken ship nearby.,qwen2.5:latest
425,A person in black and white swim trunks falling,into the water at a beach resort,qwen2.5:latest
426,The person in green dress,wore it to the party,qwen2.5:latest
427,An Asian man reading,a newspaper in a dimly lit room,qwen2.5:latest
428,The black and white dog is,playing in the park,qwen2.5:latest
429,A man in a red hooded sweatshirt is performing a skateboard jump,over the halfpipe at the park,qwen2.5:latest
430,A group of woman sell their homemade wares from,the curb.,qwen2.5:latest
431,A man with a green,hat wore sunglasses even on a cloudy day.,qwen2.5:latest
432,A small black girl,ran to her mother for comfort,qwen2.5:latest
433,People standing in line and,waiting for their turn,qwen2.5:latest
434,Many people walking down a street and one,stopped to look at something interesting.,qwen2.5:latest
435,Two men in jeans enjoying,the sun at the park,qwen2.5:latest
436,People sitting at a bench talking to each,each other about their day.,qwen2.5:latest
437,Several people are crossing a street,in a hurry to get home before the rain starts,qwen2.5:latest
438,A man participates in,a marathon to raise awareness for charity,qwen2.5:latest
439,A woman with dark hair and wearing a black tank-top and dark green skirt with,a floral pattern stood confidently in the center of the room.,qwen2.5:latest
440,Men are working,to build the new bridge,qwen2.5:latest
441,A woman looking intently,at her phone screen,qwen2.5:latest
442,A large group of,people gathered to celebrate a milestone anniversary.,qwen2.5:latest
443,A brown dog wearing a key,ran through the grassy field,qwen2.5:latest
444,A young woman wearing a traditional headscarf reads text from a paper,in her hand aloud to a small group.,qwen2.5:latest
445,Three utility workers on,were working on repairing the power lines,qwen2.5:latest
446,A young woman fights her life,against overwhelming odds.,qwen2.5:latest
447,A wrecked ambulance,sat by the side of the road.,qwen2.5:latest
448,A woman carrying a white bag with a,little red bow on it walked past.,qwen2.5:latest
449,A young lady wearing a bathing suit is rinsing her hair out,at the beach under the sun,qwen2.5:latest
450,A man sits and rest his head on his hand,waiting for someone or something,qwen2.5:latest
451,Firefighters respond to the scene,quickly to extinguish the flames,qwen2.5:latest
452,A girl is playing in a house between a,rock and a hard place.,qwen2.5:latest
453,Construction workers working on,the new skyscraper are making significant progress.,qwen2.5:latest
454,A child climbs to the,top of the playground equipment safely.,qwen2.5:latest
455,A group of kids are sitting around,a campfire telling stories.,qwen2.5:latest
456,A lady walking in,the park alone at dusk,qwen2.5:latest
457,Person in checked shirt riding,on a bike through the park,qwen2.5:latest
458,A baseball catcher trying to tag a,runner out,qwen2.5:latest
459,One child is walking,alone in the forest at dusk.,qwen2.5:latest
460,A dog carries,a bone in its mouth.,qwen2.5:latest
461,Beachgoers watch something,sink beneath the waves,qwen2.5:latest
462,A man rides a skateboard up a sloped,rooftop to perform a trick.,qwen2.5:latest
463,a black and white dog trying to,catch a colorful frisbee in the park,qwen2.5:latest
464,A person in a harness is hanging above water,waiting for instructions before jumping into the pool,qwen2.5:latest
465,The man holds up something in his hand,and reveals a surprise gift.,qwen2.5:latest
466,A little girl is holding a cine,"cine in her hands, looking excited to watch it.",qwen2.5:latest
467,A small dog jumping an obstacle,over a hurdle,qwen2.5:latest
468,An oriental woman working,in a bustling city market,qwen2.5:latest
469,"A man holding a large brown bag stands in front of an entryway,",waiting to be noticed by someone inside.,qwen2.5:latest
470,Here is a picture of a kid dressed up,as a superhero for Halloween,qwen2.5:latest
471,A man holding an umbrella stands on,the sidewalk during a rainstorm.,qwen2.5:latest
472,Ten people enjoying,the sun at the beach,qwen2.5:latest
473,There is a crowd of people on stage,waiting for the performance to begin,qwen2.5:latest
474,"Individuals in uniform, some camouflage and some yellow, dip",in their flags into the river as a symbol of respect and unity.,qwen2.5:latest
475,Four people performing,at a circus show,qwen2.5:latest
476,A man wearing a yellow vest and gray fisherman's cap is sitting in a red chair along,by the window observing the rain.,qwen2.5:latest
477,A woman waiting by,the bus stop for her friend,qwen2.5:latest
478,"Two people walking down a sidewalk, both",holding an umbrella to avoid the rain,qwen2.5:latest
479,Man with long beard holding,a bundle of wood,qwen2.5:latest
480,a little brown dog with a blue collar,was wagging its tail happily,qwen2.5:latest
481,"A woman wearing red, white and","A woman wearing red, white and blue stood out in the crowd.",qwen2.5:latest
482,One woman showing an object,to her friend,qwen2.5:latest
483,A man carrying steel,walked into the construction site,qwen2.5:latest
484,The swimmers are getting ready to,jump into the pool,qwen2.5:latest
485,A dark-haired woman is gazing,into the distance,qwen2.5:latest
486,Two men and a,woman were arguing over,qwen2.5:latest
487,A little league pitcher wearing glasses beginning,struggled to focus on the batter due to poor lighting conditions,qwen2.5:latest
488,Two men in matching t-shirts are,wearing them to show solidarity,qwen2.5:latest
489,A man standing on a ladder doing repairs on,the roof,qwen2.5:latest
490,Two girls dressed in,Two girls dressed in colorful costumes were preparing for the festival parade.,qwen2.5:latest
491,A man in a striped shirt,wore a colorful tie.,qwen2.5:latest
492,A man is using his,phone to take a picture,qwen2.5:latest
493,someone is holding out a punctured ball in front of,someone's face to burst it on purpose,qwen2.5:latest
494,Black man playing his guitar,in the dimly lit café,qwen2.5:latest
495,A soldier stands in,attention pose awaiting orders,qwen2.5:latest
496,"Some kids are playing pool volleyball with a man wearing a neon shirt,",and everyone seems to be having fun.,qwen2.5:latest
497,A stunt plane is billowing smoke,to celebrate the airshow's start,qwen2.5:latest
498,A couple wearing winter,clothing stood outside the cozy café.,qwen2.5:latest
499,Older man in red hat holds,an umbrella over a small child,qwen2.5:latest
500,A man sitting,on the bench by the park pondered,qwen2.5:latest
501,Cowboy with a purple shirt and black vest trying to,ride a stubborn horse,qwen2.5:latest
502,Palestinians demonstrating at Gaza Street amid strong,Palestinian protests against Israeli military operations.,qwen2.5:latest
503,"Small yachts in harbor,",are safely moored for the night.,qwen2.5:latest
504,People looking out window and one,saw something amazing,qwen2.5:latest
505,Woman and kids having,a great time at the carnival,qwen2.5:latest
506,A girl sitting at a desk,was studying for her exams.,qwen2.5:latest
507,A tent rests on the shore and a man,is fishing by the lake.,qwen2.5:latest
508,A big thin dog runs fast,through the grassy field,qwen2.5:latest
509,A little boy wearing a hat and,holding a balloon,qwen2.5:latest
510,a little boy crying,because someone took his toy,qwen2.5:latest
511,An elderly man with a beret,wore his hat proudly as he strolled through the market.,qwen2.5:latest
512,A street is filled with Indian,people and vibrant colors.,qwen2.5:latest
513,A line is beginning to form,at the ticket counter,qwen2.5:latest
514,Two children playing,in the park joyfully,qwen2.5:latest
515,A tattooed man in construction equipment and,wore a hard hat at the party,qwen2.5:latest
516,The band is about to get started on,the stage,qwen2.5:latest
517,A boy playing in,the rain stopped suddenly,qwen2.5:latest
518,An elderly man stands on a ladder,to fix the loose shingles on his roof,qwen2.5:latest
519,"Young family eating a snack,",enjoying every bite of their favorite cookies.,qwen2.5:latest
520,The motocross rider is,risking severe injury in each jump,qwen2.5:latest
521,Hockey goalie in red jersey ready,to make a save against the opposing team's shot.,qwen2.5:latest
522,A woman in a red shirt is,wearing a stylish outfit for the occasion.,qwen2.5:latest
523,a boardwalk with elegant lighting fixtures and a mobile food,stand in front of it,qwen2.5:latest
524,high school football,ended in a thrilling overtime victory,qwen2.5:latest
525,A boy jumps off a short,into the pool on a hot summer day,qwen2.5:latest
526,Someone buying groceries at,the store kept bumping into others,qwen2.5:latest
527,Man in orange shirt holds ice cream while,waiting for someone to buy it,qwen2.5:latest
528,a kid doing tricks on a,bicycle,qwen2.5:latest
529,A woman wears a black hat with an american flag,on it.,qwen2.5:latest
530,A man stands on a street corner with a,broad smile holding an umbrella.,qwen2.5:latest
531,A man in a denim jacket paints the word' China',on the wall,qwen2.5:latest
532,Two bikers taking a break sitting on,the warm pavement discussing their journey so far,qwen2.5:latest
533,A skier falling,down a steep slope,qwen2.5:latest
534,A man in uniform holds a flag,standing proudly during the ceremony,qwen2.5:latest
535,A young girl in a pink top looks at a,beautiful bouquet of flowers,qwen2.5:latest
536,A person on a,bike rode past quickly for an errand.,qwen2.5:latest
537,Two people are walking down a,street together in silence.,qwen2.5:latest
538,Young woman in a bikini jumping,into the water,qwen2.5:latest
539,A man with black hair is looking at a plate of watermelons,and seems curious about them.,qwen2.5:latest
540,A young dancer holds a pose,for an audience of judges during the competition,qwen2.5:latest
541,A girl in a black two-piece,swimmed confidently in the ocean,qwen2.5:latest
542,A man in a blue tank top,was wearing a bright shade of blue.,qwen2.5:latest
543,three riders stand around their,horse,qwen2.5:latest
544,A sidewalk cafe with people eating,enjoying their meals in the sun,qwen2.5:latest
545,A white SUV is parked in front a building with,"a sign that reads ""City Hall""",qwen2.5:latest
546,Cameramen filming an athlete,were capturing every moment of their performance,qwen2.5:latest
547,A man on a motorcycle,rode past her loudly,qwen2.5:latest
548,"A man wearing a blue lab coat, safety goggles, and gloves is putting things",into an experiment flask on the laboratory bench.,qwen2.5:latest
549,"a man sitting down, with his head",resting on his hands,qwen2.5:latest
550,A school crossing guard,stands at the intersection to ensure student safety.,qwen2.5:latest
551,A black woman is sitting on a gray cloth and,holding a baby in her arms,qwen2.5:latest
552,A woman in a orange shirt is,wearing a bright smile while waving at the camera.,qwen2.5:latest
553,A trail going through,a scenic area full of wildlife and natural beauty,qwen2.5:latest
554,A girl is carrying a bag of,sugar to make cookies,qwen2.5:latest
555,A man with plastic,gloves entered the room silently.,qwen2.5:latest
556,A little boy playing,in the park enjoyed every moment of the sunny day,qwen2.5:latest
557,A dog jumping over,the fence to catch a frisbee,qwen2.5:latest
558,A group of people in inflatable rafts trying,to navigate through the turbulent waters,qwen2.5:latest
559,A man in an,A man in an expensive suit approached the counter to place a large order.,qwen2.5:latest
560,A girl with black hair,wore a red dress to the party.,qwen2.5:latest
561,This person is trying,hard to understand without more context.,qwen2.5:latest
562,A man is running and a,dog is chasing him,qwen2.5:latest
563,People run past rows,of buildings shouting for help.,qwen2.5:latest
564,a little boy trying,to catch his balloon that had slipped away,qwen2.5:latest
565,A man and a woman having a,nice conversation about life experiences,qwen2.5:latest
566,Young boys in yellow and red,were playing soccer at the park,qwen2.5:latest
567,"There is a man with a moustache, cap and backpack",wandering through the market streets,qwen2.5:latest
568,A young baseball player winds up,to throw the ball with all his strength,qwen2.5:latest
569,A athlete runs across the racing,field finishing first.,qwen2.5:latest
570,African children at a well with one retrieving,water while others fill their containers,qwen2.5:latest
571,A man and a lady both wearing white shirts,were standing next to each other at the ceremony.,qwen2.5:latest
572,A street worker driving a machine,was carefully maintaining the pavement,qwen2.5:latest
573,A young man leans against a light pole next to a full trashcan while a bus decorated with an,advertising banner passes by,qwen2.5:latest
574,A woman looks into a microscope with a computer,screen open beside her.,qwen2.5:latest
575,A man and a woman standing,were silently contemplating their next move.,qwen2.5:latest
576,A small child looking,through a kaleidoscope sees constantly changing patterns.,qwen2.5:latest
577,A young boy and a young,girl were playing together in the park.,qwen2.5:latest
578,Few people sitting aside a,Few people sitting aside a peaceful lake enjoyed the serene scenery.,qwen2.5:latest
579,A man sits outside in the partial,shelter of a small umbrella on a rainy day.,qwen2.5:latest
580,"A young man with brown hair, a black shirt, and a backpack",was walking through the park on his way to meet friends.,qwen2.5:latest
581,Women wearing blue and green playing,in the park on a sunny day,qwen2.5:latest
582,A old man with a blue head piece,wore a blue scarf.,qwen2.5:latest
583,People go about there busy day,going their own separate ways,qwen2.5:latest
584,A older model blue van being driven with a bunch of items strapped,on top of it,qwen2.5:latest
585,Two children are hugging,because they were happy to see each other,qwen2.5:latest
586,The small brown and white dog,ran quickly to the park gate,qwen2.5:latest
587,a woman in a red,dress walked past,qwen2.5:latest
588,Three young people play around,in the park on a sunny day,qwen2.5:latest
589,"Three men are playing rugby, one man is attempting to tackle the man",with the ball.,qwen2.5:latest
590,Three men wearing plaid,stood in the corner observing the scene,qwen2.5:latest
591,A woman eating some food while sitting on a,park bench,qwen2.5:latest
592,A boy climbs on a stack of,boxes to reach the high shelf.,qwen2.5:latest
593,An elderly man sitting on a,park bench in the sun,qwen2.5:latest
594,A man skateboards along,the street at incredible speeds.,qwen2.5:latest
595,Bicyclers riding over a bridge,saw beautiful views below,qwen2.5:latest
596,A young child playing with a toy,fell off his chair,qwen2.5:latest
597,A lone cowboy riding his horse holding,the hat atop his head,qwen2.5:latest
598,The men are enjoy a scooter,riding together in the park,qwen2.5:latest
599,A baby in blue laying on a,couch sleeping peacefully,qwen2.5:latest
600,Our little model is wearing the colors,of our favorite team's jersey.,qwen2.5:latest
601,A little girl in a pink outfit pushing a little,cart around the park,qwen2.5:latest
602,Two young people,were seen holding hands in the park,qwen2.5:latest
603,A trio of dancers,performed gracefully on the stage,qwen2.5:latest
604,A man on a bicycle is falling off of,because his tire burst.,qwen2.5:latest
605,"Girls in matching outfits, one holding inflatable",looked like a fun duo for the event,qwen2.5:latest
606,Three children climb on,the fence for no good reason,qwen2.5:latest
607,Girl wearing a pink shirt and a,hat,qwen2.5:latest
608,A little boy kissing a girl,on his cheek made her smile.,qwen2.5:latest
609,A skateboarder jumps off his skateboard in midair in,and performs a trick,qwen2.5:latest
610,A child looks at her reflection,in the mirror curiously,qwen2.5:latest
611,A man walking next,to his home at night.,qwen2.5:latest
612,Two men sit at a pier with a pair of,fishing rods in hand,qwen2.5:latest
613,A woman is shopping,for groceries needed for the week,qwen2.5:latest
614,A man working at a,construction site不慎泄露了公司的机密信息。,qwen2.5:latest
615,Two female baseball players,were arguing over a missed call signiture play.,qwen2.5:latest
616,People gather to hear a speech,to inspire and be inspired,qwen2.5:latest
617,A young lady with a green purse sits with a,bored expression on her face.,qwen2.5:latest
618,"A bearded man wearing glasses, a red shirt, and a hat is",standing in front of a fireplace reading a book,qwen2.5:latest
619,"A figure in a blue coat, hood pulled up, stands waist-deep",in a shallow river.,qwen2.5:latest
620,A black cat wrestles with a white,white cat on the roof tiles.,qwen2.5:latest
621,Two children in casual clothing are lying in,on the grass reading a book.,qwen2.5:latest
622,A man with a white beard is writing in,a journal by the fireplace.,qwen2.5:latest
623,A man is touching the hand of another man at,a gay pride event,qwen2.5:latest
624,A woman uses a cultivation tool to,cultivate her garden plants,qwen2.5:latest
625,A young man skates down the,ramp in style.,qwen2.5:latest
626,A woman with her arm,was raised in a protective manner,qwen2.5:latest
627,A mountain climber smiles for the camera as he ascends a,rock face,qwen2.5:latest
628,A flexible,workforce can adapt to changing circumstances.,qwen2.5:latest
629,Man and woman sitting in front,of each other at the café.,qwen2.5:latest
630,A black dog pulling,a child on a leash,qwen2.5:latest
631,A boy smiles while he loads up,his backpack with books for school.,qwen2.5:latest
632,A group of men,entered the room silently,qwen2.5:latest
633,Two men in suits,were having a heated discussion about finances.,qwen2.5:latest
634,Workers at meat market,were protesting for better working conditions.,qwen2.5:latest
635,A boy chasing a,girl chased after the butterfly,qwen2.5:latest
636,a dog on,ran into a tree,qwen2.5:latest
637,A major league baseball player has just hit the,grand slam home run,qwen2.5:latest
638,A blond person stands in front of,a tall oak tree,qwen2.5:latest
639,a girl wearing pink,was dancing gracefully in the sunlight,qwen2.5:latest
640,A man has his face in his hand,because he looks contemplative or sad.,qwen2.5:latest
641,Three girls in western hats,rode into town looking for trouble.,qwen2.5:latest
642,Two men in helmets on a street,were likely participating in a race or event,qwen2.5:latest
643,A group of professionals,decided to strike for better conditions.,qwen2.5:latest
644,A man in a black hat is sitting on a stool in front of a,bakery shop window,qwen2.5:latest
645,A man dressed in a red outfit,was likely preparing for a festive performance.,qwen2.5:latest
646,A man rides a bicycle,through the park on a sunny afternoon,qwen2.5:latest
647,Two small children sitting on a,park bench waiting for their parents to finish speaking,qwen2.5:latest
648,A man in a black shirt and red and white hat swinging a golf club,at the ball on the green,qwen2.5:latest
649,A dog stirs up the dirt on the ground,to create a small hole for a bone,qwen2.5:latest
650,One women in a blue top with blond-hair smiles as she sits,at her table during a festival.,qwen2.5:latest
651,A dog leaps,over the fence,qwen2.5:latest
652,three people are picking up trash,from the parkgrounds,qwen2.5:latest
653,A man in a light blue,shirt stood out among the crowd because,qwen2.5:latest
654,Small girl sharing dinner,with her family happily,qwen2.5:latest
655,Musicians dressed in red and white shirts and khaki,were performing lively tunes on stage,qwen2.5:latest
656,A girl jumps while,singing at the top of her lungs,qwen2.5:latest
657,The biker in blue is,roaring down the mountain trail,qwen2.5:latest
658,A raft is being paddled through,the calm waters of the river,qwen2.5:latest
659,The skier is airborne after,he clears the jump,qwen2.5:latest
660,A man and a woman walk,into the sunset together.,qwen2.5:latest
661,guy holding a basketball wearing red shirt black,scored a layup,qwen2.5:latest
662,People walking down the street and,disregarding their umbrellas on a sunny day,qwen2.5:latest
663,A man in a yellow shirt is,wearing sunglasses and smiling at the camera.,qwen2.5:latest
664,A woman in a blue shirt smiles at the camera while she,holds a bouquet of flowers.,qwen2.5:latest
665,A man and woman are on,a date at the park,qwen2.5:latest
666,Two people ride a motorbike on a,busy street,qwen2.5:latest
667,"Posing with their much loved guitar,",they struck a pose for the camera.,qwen2.5:latest
668,Man gives a speech,about his vision for the future,qwen2.5:latest
669,A cat sitting beside,the fireplace warmed itself in the gentle flames,qwen2.5:latest
670,Three asian women purchasing and shopping for,vegetables and groceries in the market,qwen2.5:latest
671,The little boy is wearing a black pinstripe,suit.,qwen2.5:latest
672,Tibetan monks in dress,wear traditional robes and hats,qwen2.5:latest
673,a young girl in a swimming,suit entered the pool to start her morning practice.,qwen2.5:latest
674,A side of a building,was covered in graffiti,qwen2.5:latest
675,"Shirtless overweight man leaning over sill of door, with a cat",...in his arms looking outside.,qwen2.5:latest
676,A man doing a,backflip off a cliff into the water,qwen2.5:latest
677,A guy jumping downhill took a,nasty fall when he lost control.,qwen2.5:latest
678,a brown dog is running,through the grassy field,qwen2.5:latest
679,A man is walking near,the dangerous area at night.,qwen2.5:latest
680,A little girl in a pink,dress smiled while holding a bouquet of flowers.,qwen2.5:latest
681,Four children racing,to see who would reach the finish line first,qwen2.5:latest
682,A woman sitting,on the bench by the park pondered,qwen2.5:latest
683,a large building with,many stories loomed over the small town.,qwen2.5:latest
684,A man and a woman sitting,on the bench in the park,qwen2.5:latest
685,A lot of people gather together to,celebrate holidays or special occasions,qwen2.5:latest
686,A woman digs into bowl of,ramen noodles,qwen2.5:latest
687,A young boy paddling in a body of water on,a kayak,qwen2.5:latest
688,A woman in a dress raises,her hand to speak.,qwen2.5:latest
689,A lady with a yellow blouse and glasses at,sat in the corner observing the scene,qwen2.5:latest
690,a group of soccer players waiting,for their coach to arrive,qwen2.5:latest
691,A motorcycle rider is riding down the,road at a high speed,qwen2.5:latest
692,A man on the side of the road leaps in,to help a stranded vehicle,qwen2.5:latest
693,A skier is coming down the slope and stirring,up a cloud of snow behind him,qwen2.5:latest
694,There are people sitting on a bus,who all look out of the window towards the cityscape,qwen2.5:latest
695,"A young boy, covered in mud,",ran home crying after playing in the puddles.,qwen2.5:latest
696,A man in a gym performs,a variety of exercises to stay fit,qwen2.5:latest
697,Three children writing intently,in their notebooks during class.,qwen2.5:latest
698,A man in a yellow car has,stolen something from his neighbor's house.,qwen2.5:latest
699,"A dog standing in sand, holding",a seashell in its mouth,qwen2.5:latest
700,A little boy with brown hair and a sweater is,standing in front of a Christmas tree,qwen2.5:latest
701,A woman standing next to a photographer is handing a,camera to him.,qwen2.5:latest
702,A woman texting while,walking through the park,qwen2.5:latest
703,The man and woman are,walking towards each other in the park.,qwen2.5:latest
704,A runner is participating in a run session or race,to improve their endurance or compete for a prize,qwen2.5:latest
705,A man in a black hat and,glasses walked into the room.,qwen2.5:latest
706,A man in a jacket and cap is crouching,on the ground examining something closely,qwen2.5:latest
707,The people are standing,in silence awaiting the announcement,qwen2.5:latest
708,"An older person, sex indeterminate, visits with two","An older person, sex indeterminate, visits with two grandchildren.",qwen2.5:latest
709,A man and a woman are,walking together in the park,qwen2.5:latest
710,Two dogs are tied to a,tree and growling at each other,qwen2.5:latest
711,A black dog swims,in the lake effortlessly,qwen2.5:latest
712,a black dog swimming,in the lake,qwen2.5:latest
713,Girl in blue,wore a beautiful dress to the party.,qwen2.5:latest
714,Man on laptop computer sitting next to,window overlooking the cityscape,qwen2.5:latest
715,"Two young boys, one in a green shirt eating a banana and",the other in a blue shirt watching him enjoy his snack,qwen2.5:latest
716,Some young adults hike by,roaming through nature without a set destination.,qwen2.5:latest
717,Several people in a market looking,for fresh produce,qwen2.5:latest
718,A bunch of asian,students were celebrating their culture day.,qwen2.5:latest
719,Two swans swimming,informed each other through gentle taps of their bills.,qwen2.5:latest
720,A gymnastics performer is swinging upside down on,"the bar, trying to maintain balance.",qwen2.5:latest
721,Two guys from opposing soccer teams,clashed on the field over a disputed call.,qwen2.5:latest
722,Four Korean men are sitting on a bench and one,is playing with his phone while the others look on.,qwen2.5:latest
723,Long-haired bearded man playing the guitar in,a cozy café corner,qwen2.5:latest
724,A small brook meanders,"through the forest, providing a peaceful soundtrack.",qwen2.5:latest
725,A man looking at a sad homeless man whose,face was covered in dirt and begging for help.,qwen2.5:latest
726,Four dogs two brown and two,were chasing a ball in the park,qwen2.5:latest
727,A waitress talking with a man,about the menu options,qwen2.5:latest
728,A man on a bike with,a helmet waved at passing cars.,qwen2.5:latest
729,A woman stands in front of a,"beautiful sunset, contemplating her next move.",qwen2.5:latest
730,Two girls walking in a parade with a sign,"saying ""Vote for peace""",qwen2.5:latest
731,The dogs run and play,in the park on a sunny day,qwen2.5:latest
732,A little girl in a red shirt with apples on it is,holding an apple in her hand,qwen2.5:latest
733,An artist at work with all,his concentration on the canvas,qwen2.5:latest
734,Women and child walking down a,street safely under the watchful eyes of community volunteers.,qwen2.5:latest
735,Two girls wake through some,dark woods at night.,qwen2.5:latest
736,A girl in a yellow headscarf is,wearing a bright smile while dancing under the sun.,qwen2.5:latest
737,Close face shot of a baby with,a big smile on their face,qwen2.5:latest
738,A man in costume,walked into the café,qwen2.5:latest
739,A woman sporting a freshly baked,cookie in her hand,qwen2.5:latest
740,A man with a safety vest is,working on maintenance in the construction site,qwen2.5:latest
741,A black dog in,ran through the field,qwen2.5:latest
742,A man in green is holding a hose,and spraying water on something or someone.,qwen2.5:latest
743,A woman with a black jacket walks,past the café,qwen2.5:latest
744,"Several people, including a man in a green shirt and a woman","wearing a red hat, were seen together at the park.",qwen2.5:latest
745,A group of people in,A group of people in masks gathered to protest.,qwen2.5:latest
746,The man drives the lane for a,living,qwen2.5:latest
747,A boy with black,hair wore a red shirt,qwen2.5:latest
748,People drinking martinis at,sunset by the sea find their worries fading away,qwen2.5:latest
749,Two teams play a sports,against each other,qwen2.5:latest
750,A mountain climber scales,the peak after facing numerous challenges.,qwen2.5:latest
751,Two men are using tools cutting,wood for a new furniture piece,qwen2.5:latest
752,Little boy looks off in the distance wearing,a thoughtful expression,qwen2.5:latest
753,A boat docked,at the harbor after a long journey,qwen2.5:latest
754,A person in a yellow shirt carrying a clear,bag walked past the store.,qwen2.5:latest
755,A man in a green T-shift and black shorts sits on,a park bench reading a book.,qwen2.5:latest
756,An elderly woman is cleaning a,window in the sunlight streaming through the curtains.,qwen2.5:latest
757,A woman wearing black is balancing,on a wire above a crowd,qwen2.5:latest
758,Children in summer clothes play on a,beach sunny day,qwen2.5:latest
759,The girl with green hair and a green,skirt danced under the moonlight,qwen2.5:latest
760,White dog with orange collar,ran towards the park,qwen2.5:latest
761,A teenage boy in a blue shirt is wearing lab goggles and,is preparing to handle chemicals safely in an experiment.,qwen2.5:latest
762,A man named Jim in a lab,wore protective gear to handle hazardous substances.,qwen2.5:latest
763,Child in blue shirt with eye closed and left arm wrapped with,bandage resting on a swing.,qwen2.5:latest
764,a tattooed man is making a,tattoo on the arm of his client,qwen2.5:latest
765,A woman is riding a,horse through the countryside,qwen2.5:latest
766,Two woman wearing costumes,were having a friendly competition at the Halloween party,qwen2.5:latest
767,Two people observe a man constructing a,house,qwen2.5:latest
768,A kid covered with,mud ran into the house,qwen2.5:latest
769,One police officer standing on the street along,was alone observing the crowd.,qwen2.5:latest
770,A brown dog carrying,a stick in its mouth,qwen2.5:latest
771,People near railroad tracks,should always be cautious of approaching or loitering.,qwen2.5:latest
772,"Two women in front of a white building,",were discussing important matters,qwen2.5:latest
773,A man wearing glasses and a black shirt is seen,standing in front of a whiteboard filled with equations.,qwen2.5:latest
774,The little girl is,running towards her mother after a long day at school,qwen2.5:latest
775,A male and three females are looking over a,property listing for a spacious apartment,qwen2.5:latest
776,Women with their luggage waiting,at the airport,qwen2.5:latest
777,A young boy sit alone in a wagon and holds on tightly to two cattle,because he was afraid of riding but wanted to help pull the wagons.,qwen2.5:latest
778,Bicyclists have stopped and,are waiting for the light to change.,qwen2.5:latest
779,A man pushes a child in a blue,stroller past the bakery.,qwen2.5:latest
780,People wander through,the streets at night for various reasons.,qwen2.5:latest
781,A woman with glasses and her hair in a braid and a girl wearing a hoodie and jeans are standing in a kitchen,and preparing for lunch together,qwen2.5:latest
782,Two black men playing,in the park on Sunday afternoon,qwen2.5:latest
783,"Three different people, all wearing light colored tops and dark",and dark pants stood together at the entrance.,qwen2.5:latest
784,Motorcycle daredevil on,performed a dangerous stunt in front of the crowd,qwen2.5:latest
785,Person with a blue and,Person with a blue and,qwen2.5:latest
786,"A tall, slightly overweight guy with brownish",hair wore a red shirt.,qwen2.5:latest
787,"A man with long brown hair, wearing a dark jacket, brown graphic t-shirt, and blue jeans",was standing outside the old bookstore on a rainy evening,qwen2.5:latest
788,An older woman is lying,"on the ground, injured.",qwen2.5:latest
