index,Xi,Xj,model
501,Cowboy with a purple shirt and black vest trying to, tame the wild horse,mistral:latest
502,Palestinians demonstrating at Gaza Street amid strong, Israeli military response,mistral:latest
503,"Small yachts in harbor,", were bobbing gently on the tranquil water.,mistral:latest
504,People looking out window and one, saw a shooting star fall,mistral:latest
505,Woman and kids having, a great time at the amusement park,mistral:latest
506,A girl sitting at a desk, ...was engrossed in her homework.,mistral:latest
507,A tent rests on the shore and a man, ...is setting up camp for the night.,mistral:latest
508,A big thin dog runs fast, across the open field,mistral:latest
509,A little boy wearing a hat and, ran excitedly through the park.,mistral:latest
510,a little boy crying, because his toy had been taken away,mistral:latest
511,An elderly man with a beret," sat quietly on his park bench, humming an old tune.",mistral:latest
512,A street is filled with Indian, food vendors selling samosas and chai.,mistral:latest
513,A line is beginning to form, at the cash register.,mistral:latest
514,Two children playing, near the busy road without adult supervision.,mistral:latest
515,A tattooed man in construction equipment and, walked into the bar.,mistral:latest
516,The band is about to get started on, stage after a short break,mistral:latest
517,A boy playing in, a sandbox suddenly found a hidden treasure.,mistral:latest
518,An elderly man stands on a ladder, ... to clean the high windows.,mistral:latest
519,"Young family eating a snack,", before bedtime,mistral:latest
520,The motocross rider is, about to perform a dangerous stunt,mistral:latest
521,Hockey goalie in red jersey ready, to make a save on the incoming shot,mistral:latest
522,A woman in a red shirt is, walking her dog near the park,mistral:latest
523,a boardwalk with elegant lighting fixtures and a mobile food, stretched out along the beach at night.,mistral:latest
524,high school football, games were starting soon,mistral:latest
525,A boy jumps off a short, wall to reach his kite.,mistral:latest
526,Someone buying groceries at, late at night must have run out of supplies.,mistral:latest
527,Man in orange shirt holds ice cream while, talking to woman wearing sunglasses,mistral:latest
528,a kid doing tricks on a, skateboard caught everyone's attention,mistral:latest
529,A woman wears a black hat with an american flag, ...because she's a fan of both fashion and patriotism.,mistral:latest
530,A man stands on a street corner with a," ...sign that reads ""Lost Dog""",mistral:latest
531,A man in a denim jacket paints the word' China', on the side of his van.,mistral:latest
532,Two bikers taking a break sitting on, near an old tree by the roadside,mistral:latest
533,A skier falling, down a steep slope,mistral:latest
534,A man in uniform holds a flag,...and salutes proudly at the ceremony's conclusion.,mistral:latest
535,A young girl in a pink top looks at a, an old man playing chess on the park bench,mistral:latest
536,A person on a, diet refused to eat that dessert.,mistral:latest
537,Two people are walking down a, ...the dark alley late at night.,mistral:latest
538,Young woman in a bikini jumping, into the crystal-clear ocean water,mistral:latest
539,A man with black hair is looking at a plate of watermelons, because he wanted to choose one for himself,mistral:latest
540,A young dancer holds a pose, for an impressive performance at the ballet competition,mistral:latest
541,A girl in a black two-piece, bikini walked confidently down the beach.,mistral:latest
542,A man in a blue tank top, ...was trying to sell counterfeit goods at the market,mistral:latest
543,three riders stand around their," a campfire, discussing their next move.",mistral:latest
544,A sidewalk cafe with people eating,... under colorful umbrellas on a sunny day.,mistral:latest
545,A white SUV is parked in front a building with, ...because its owner works there.,mistral:latest
546,Cameramen filming an athlete, ...as they compete for gold.,mistral:latest
547,A man on a motorcycle, sped down the busy street without a helmet,mistral:latest
548,"A man wearing a blue lab coat, safety goggles, and gloves is putting things", into a large glass container,mistral:latest
549,"a man sitting down, with his head", in deep thought,mistral:latest
550,A school crossing guard, was about to retire due to health issues.,mistral:latest
551,A black woman is sitting on a gray cloth and, ...she's knitting a beautiful scarf.,mistral:latest
552,A woman in a orange shirt is, walking her dog near the park,mistral:latest
553,A trail going through, a dense forest leads to an enchanting waterfall,mistral:latest
554,A girl is carrying a bag of, books to school,mistral:latest
555,A man with plastic, bags in his hands walked towards the beach.,mistral:latest
556,A little boy playing, with his toys near the street.,mistral:latest
557,A dog jumping over, a fence,mistral:latest
558,A group of people in inflatable rafts trying, to navigate through a rapid river.,mistral:latest
559,A man in an, overcoat walked down a dark alley.,mistral:latest
560,A girl with black hair, ...was singing a beautiful melody on stage.,mistral:latest
561,This person is trying, to achieve their goals despite numerous obstacles,mistral:latest
562,A man is running and a, towards his lost dog,mistral:latest
563,People run past rows, of burning buildings,mistral:latest
564,a little boy trying, to find his lost puppy,mistral:latest
565,A man and a woman having a, heated discussion about their relationship issues.,mistral:latest
566,Young boys in yellow and red, played soccer on a sunny afternoon.,mistral:latest
567,"There is a man with a moustache, cap and backpack", who was waiting for the bus at the corner.,mistral:latest
568,A young baseball player winds up, on third base after a triple,mistral:latest
569,A athlete runs across the racing, track to win a medal,mistral:latest
570,African children at a well with one retrieving, water from it,mistral:latest
571,A man and a lady both wearing white shirts, were sitting at a chessboard.,mistral:latest
572,A street worker driving a machine, ...was about to pave the road smoothly.,mistral:latest
573,A young man leans against a light pole next to a full trashcan while a bus decorated with an, for Halloween passes by.,mistral:latest
574,A woman looks into a microscope with a computer, to analyze genetic data for her research project,mistral:latest
575,A man and a woman standing, were discussing their shared passion for art.,mistral:latest
576,A small child looking, at a giant robot with wide eyes.,mistral:latest
577,A young boy and a young, girl were playing together happily.,mistral:latest
578,Few people sitting aside a, were discussing their shared memories,mistral:latest
579,A man sits outside in the partial, shade of a large tree,mistral:latest
580,"A young man with brown hair, a black shirt, and a backpack", was walking down the busy street.,mistral:latest
581,Women wearing blue and green playing,...harmonicas on the street corner.,mistral:latest
582,A old man with a blue head piece," sat on a park bench, humming an old tune",mistral:latest
583,People go about there busy day, without realizing they're making a difference.,mistral:latest
584,A older model blue van being driven with a bunch of items strapped," on top, looked suspicious",mistral:latest
585,Two children are hugging, because they missed each other dearly,mistral:latest
586,The small brown and white dog, ...barked non-stop all night.,mistral:latest
587,a woman in a red, dress approached cautiously,mistral:latest
588,Three young people play around, in a field full of daisies,mistral:latest
589,"Three men are playing rugby, one man is attempting to tackle the man", who has possession of the ball,mistral:latest
590,Three men wearing plaid, were discussing their shared love for antique cars,mistral:latest
591,A woman eating some food while sitting on a," bench, lost track of time",mistral:latest
592,A boy climbs on a stack of, boxes to reach the hidden treasure,mistral:latest
593,An elderly man sitting on a, bench seemed lost in thoughts.,mistral:latest
594,A man skateboards along, a busy street without looking both ways,mistral:latest
595,Bicyclers riding over a bridge, were enjoying the scenic view from above,mistral:latest
596,A young child playing with a toy, suddenly started crying.,mistral:latest
597,A lone cowboy riding his horse holding,across the vast desert at sunset.,mistral:latest
598,The men are enjoy a scooter, race around town,mistral:latest
599,A baby in blue laying on a, blanket next to its mother,mistral:latest
600,Our little model is wearing the colors, of its favorite sports team,mistral:latest
601,A little girl in a pink outfit pushing a little, cart around the park,mistral:latest
602,Two young people, were deeply in love but couldn't express their feelings openly.,mistral:latest
603,A trio of dancers, performed an impressive routine on stage.,mistral:latest
604,A man on a bicycle is falling off of, due to losing balance,mistral:latest
605,"Girls in matching outfits, one holding inflatable", were about to enter the room for a surprise appearance.,mistral:latest
606,Three children climb on, each other to reach a high shelf,mistral:latest
607,Girl wearing a pink shirt and a, hat walked into the room.,mistral:latest
608,A little boy kissing a girl, ...because she gave him a candy,mistral:latest
609,A skateboarder jumps off his skateboard in midair in, ...and lands on a halfpipe smoothly.,mistral:latest
610,A child looks at her reflection," in awe, not realizing she looked just like her mother.",mistral:latest
611,A man walking next, to his dog on a leash.,mistral:latest
612,Two men sit at a pier with a pair of," binoculars, scanning the horizon for any signs of activity.",mistral:latest
613,A woman is shopping, for expensive designer clothes,mistral:latest
614,A man working at a, factory suddenly collapsed due to exhaustion.,mistral:latest
615,Two female baseball players, were breaking records on their team.,mistral:latest
616,People gather to hear a speech, about its inspiring message,mistral:latest
617,A young lady with a green purse sits with a," ...on the bench, reading a book.",mistral:latest
618,"A bearded man wearing glasses, a red shirt, and a hat is", sitting on a park bench reading a book.,mistral:latest
619,"A figure in a blue coat, hood pulled up, stands waist-deep", in the river.,mistral:latest
620,A black cat wrestles with a white, dog for supremacy on the porch.,mistral:latest
621,Two children in casual clothing are lying in," a field of tall grass, playing hide-and-seek.",mistral:latest
622,A man with a white beard is writing in, a journal about his life's adventures.,mistral:latest
623,A man is touching the hand of another man at, ...because they were friends greeting each other.,mistral:latest
624,A woman uses a cultivation tool to, plant seeds in her garden,mistral:latest
625,A young man skates down the, street at breakneck speed.,mistral:latest
626,A woman with her arm, in a sling walked slowly,mistral:latest
627,A mountain climber smiles for the camera as he ascends a," ...the peak, feeling accomplished",mistral:latest
628,A flexible, schedule allowed her to balance work and family life.,mistral:latest
629,Man and woman sitting in front, of a roaring fire,mistral:latest
630,A black dog pulling, a red wagon down the street.,mistral:latest
631,A boy smiles while he loads up, his video game console,mistral:latest
632,A group of men, were discussing a controversial topic.,mistral:latest
633,Two men in suits, were discussing a business deal confidentially.,mistral:latest
634,Workers at meat market, were running out of supplies due to high demand,mistral:latest
635,A boy chasing a, ball around the park,mistral:latest
636,a dog on, barked loudly,mistral:latest
637,A major league baseball player has just hit the, home run that won the championship game.,mistral:latest
638,A blond person stands in front of," a mirror, admiring their reflection.",mistral:latest
639,a girl wearing pink, ...was sitting on a swing.,mistral:latest
640,A man has his face in his hand, because he just received some devastating news,mistral:latest
641,Three girls in western hats, were exploring an old abandoned mine.,mistral:latest
642,Two men in helmets on a street, were racing their motorcycles.,mistral:latest
643,A group of professionals, were discussing a challenging project.,mistral:latest
644,A man in a black hat is sitting on a stool in front of a," ...a guitar, strumming softly.",mistral:latest
645,A man dressed in a red outfit,was trying to sell tickets for his circus act,mistral:latest
646,A man rides a bicycle, ...through traffic at high speed,mistral:latest
647,Two small children sitting on a, bench were playing with their toys.,mistral:latest
648,A man in a black shirt and red and white hat swinging a golf club, ...was attempting to drive the ball onto the green.,mistral:latest
649,A dog stirs up the dirt on the ground, because it found a bone hidden there,mistral:latest
650,One women in a blue top with blond-hair smiles as she sits, down on the park bench,mistral:latest
651,A dog leaps, over the fence to chase a ball.,mistral:latest
652,three people are picking up trash, because they care about their environment,mistral:latest
653,A man in a light blue, suit walked down the street.,mistral:latest
654,Small girl sharing dinner, with her new friend from school,mistral:latest
655,Musicians dressed in red and white shirts and khaki, played a lively rendition of traditional tunes,mistral:latest
656,A girl jumps while, off a diving board,mistral:latest
657,The biker in blue is, about to take a sharp turn on the winding road.,mistral:latest
658,A raft is being paddled through, rapids by a group of adventurers.,mistral:latest
659,The skier is airborne after, landing a jump,mistral:latest
660,A man and a woman walk, into each other on the busy street,mistral:latest
661,guy holding a basketball wearing red shirt black, ...and white sneakers on the court.,mistral:latest
662,People walking down the street and, were taking pictures of each other,mistral:latest
663,A man in a yellow shirt is, running towards us for help.,mistral:latest
664,A woman in a blue shirt smiles at the camera while she, holds a bouquet of flowers,mistral:latest
665,A man and woman are on," a blind date, but they didn't seem to connect.",mistral:latest
666,Two people ride a motorbike on a, busy street at night,mistral:latest
667,"Posing with their much loved guitar,", ...was a tradition before every concert.,mistral:latest
668,Man gives a speech, ...because he wanted to inspire everyone.,mistral:latest
669,A cat sitting beside, on a windowsill watching birds fly by.,mistral:latest
670,Three asian women purchasing and shopping for, traditional clothing at a market.,mistral:latest
671,The little boy is wearing a black pinstripe, suit for his uncle's funeral.,mistral:latest
672,Tibetan monks in dress, were performing their traditional rituals,mistral:latest
673,a young girl in a swimming, pool was trying to learn how to dive,mistral:latest
674,A side of a building, collapsed due to strong winds,mistral:latest
675,"Shirtless overweight man leaning over sill of door, with a cat", ...trying to pet the cat that ran away.,mistral:latest
676,A man doing a, yoga pose on top of a mountain at sunrise.,mistral:latest
677,A guy jumping downhill took a, a dangerous tumble,mistral:latest
678,a brown dog is running, towards the park,mistral:latest
679,A man is walking near," a park bench, lost in thought.",mistral:latest
680,A little girl in a pink, dress ran excitedly towards her mother.,mistral:latest
681,Four children racing, downhill on their bikes,mistral:latest
682,A woman sitting," on a park bench, lost in thought",mistral:latest
683,a large building with, stood tall on the hillside,mistral:latest
684,A man and a woman sitting, were deep in conversation.,mistral:latest
685,A lot of people gather together to, watch the fireworks show,mistral:latest
686,A woman digs into bowl of, potatoes to find her favorite one,mistral:latest
687,A young boy paddling in a body of water on, suddenly found himself caught in a strong current.,mistral:latest
688,A woman in a dress raises, her hand to ask a question.,mistral:latest
689,A lady with a yellow blouse and glasses at, sat down to read her favorite book.,mistral:latest
690,a group of soccer players waiting, for their coach to arrive,mistral:latest
691,A motorcycle rider is riding down the, a winding mountain road at breakneck speed,mistral:latest
692,A man on the side of the road leaps in, surprise to help a stranded motorist,mistral:latest
693,A skier is coming down the slope and stirring, up a cloud of powder behind them.,mistral:latest
694,There are people sitting on a bus, ...because there wasn't enough room to stand.,mistral:latest
695,"A young boy, covered in mud,", ran excitedly through the field after finding a hidden treasure.,mistral:latest
696,A man in a gym performs, a heavy weightlifting routine,mistral:latest
697,Three children writing intently, on their homework assignments,mistral:latest
698,A man in a yellow car has, driven past my house multiple times today,mistral:latest
699,"A dog standing in sand, holding", ...a frisbee between its paws,mistral:latest
700,A little boy with brown hair and a sweater is, playing hide-and-seek in the park.,mistral:latest
701,A woman standing next to a photographer is handing a, him her business card,mistral:latest
702,A woman texting while, driving a car on a busy road.,mistral:latest
703,The man and woman are, arguing over a misunderstanding,mistral:latest
704,A runner is participating in a run session or race, because she wants to improve her speed,mistral:latest
705,A man in a black hat and, trench coat walked mysteriously down the alleyway.,mistral:latest
706,A man in a jacket and cap is crouching," behind a tree, watching carefully",mistral:latest
707,The people are standing, outside to watch the parade pass by,mistral:latest
708,"An older person, sex indeterminate, visits with two", their grandchildren for a family reunion.,mistral:latest
709,A man and a woman are, arguing over who should pay for dinner.,mistral:latest
710,Two dogs are tied to a," tree, waiting for their owners to return",mistral:latest
711,A black dog swims, in the river every day.,mistral:latest
712,a black dog swimming, in the river.,mistral:latest
713,Girl in blue, ...was standing out among everyone else,mistral:latest
714,Man on laptop computer sitting next to, ...in a quiet coffee shop working late into the night.,mistral:latest
715,"Two young boys, one in a green shirt eating a banana and", another carrying a red balloon were playing tag.,mistral:latest
716,Some young adults hike by, ...in the mountains every weekend.,mistral:latest
717,Several people in a market looking, at various goods for sale,mistral:latest
718,A bunch of asian, people were gathering to celebrate a festival.,mistral:latest
719,Two swans swimming, on a peaceful lake.,mistral:latest
720,A gymnastics performer is swinging upside down on, ...a trapeze bar to impress the judges,mistral:latest
721,Two guys from opposing soccer teams, started a brawl on the field.,mistral:latest
722,Four Korean men are sitting on a bench and one, ...arguing about their favorite K-pop group.,mistral:latest
723,Long-haired bearded man playing the guitar in, a crowded street corner for tips.,mistral:latest
724,A small brook meanders, through a lush green valley.,mistral:latest
725,A man looking at a sad homeless man whose, felt compelled to help him.,mistral:latest
726,Four dogs two brown and two, were playing fetch together,mistral:latest
727,A waitress talking with a man," at his table, explaining why their order hadn't arrived yet.",mistral:latest
728,A man on a bike with, a basket full of flowers rode past her house,mistral:latest
729,A woman stands in front of a," of a mirror, contemplating her reflection.",mistral:latest
730,Two girls walking in a parade with a sign," that read ""Vote for Peace""",mistral:latest
731,The dogs run and play, in the park every day,mistral:latest
732,A little girl in a red shirt with apples on it is, playing hide-and-seek at the apple orchard.,mistral:latest
733,An artist at work with all, her emotions poured onto canvas,mistral:latest
734,Women and child walking down a," ...the busy street, holding hands tightly.",mistral:latest
735,Two girls wake through some, fields of flowers hand-in-hand.,mistral:latest
736,A girl in a yellow headscarf is, walking her dog near the park,mistral:latest
737,Close face shot of a baby with, revealing her curious blue eyes,mistral:latest
738,A man in costume, was attending a comic-con event,mistral:latest
739,A woman sporting a freshly baked, hairdo walked by,mistral:latest
740,A man with a safety vest is, inspecting the construction site,mistral:latest
741,A black dog in, a park was chasing its tail.,mistral:latest
742,A man in green is holding a hose, ...and watering his garden vigorously.,mistral:latest
743,A woman with a black jacket walks, into the room confidently,mistral:latest
744,"Several people, including a man in a green shirt and a woman",... were arguing about the political election results.,mistral:latest
745,A group of people in, were discussing a controversial topic.,mistral:latest
746,The man drives the lane for a," purpose, hoping to break his personal best record.",mistral:latest
747,A boy with black, hair ran towards the field.,mistral:latest
748,People drinking martinis at, were getting tipsy by midnight.,mistral:latest
749,Two teams play a sports, match against each other,mistral:latest
750,A mountain climber scales, a dangerous peak every day.,mistral:latest
751,Two men are using tools cutting, a large tree trunk together.,mistral:latest
752,Little boy looks off in the distance wearing, a lost expression on his face,mistral:latest
753,A boat docked, at the pier after a long voyage,mistral:latest
754,A person in a yellow shirt carrying a clear, bag walked into the room.,mistral:latest
755,A man in a green T-shift and black shorts sits on," a park bench, humming an old tune.",mistral:latest
756,An elderly woman is cleaning a, her house before guests arrive,mistral:latest
757,A woman wearing black is balancing, ...a tray full of fragile glassware on her head.,mistral:latest
758,Children in summer clothes play on a, near the beach,mistral:latest
759,The girl with green hair and a green, dress was attending the eco-fashion show.,mistral:latest
760,White dog with orange collar, ran away from its owner,mistral:latest
761,A teenage boy in a blue shirt is wearing lab goggles and, ...because he was conducting an experiment at home.,mistral:latest
762,A man named Jim in a lab, was conducting an experiment on quantum physics,mistral:latest
763,Child in blue shirt with eye closed and left arm wrapped with, was taking a nap on the couch,mistral:latest
764,a tattooed man is making a, dangerous moves with his knife,mistral:latest
765,A woman is riding a, bike through the park,mistral:latest
766,Two woman wearing costumes, were attending a comic-con event,mistral:latest
767,Two people observe a man constructing a, a sandcastle on the beach.,mistral:latest
768,A kid covered with, paint ran through the park,mistral:latest
769,One police officer standing on the street along, observed a suspicious activity happening nearby.,mistral:latest
770,A brown dog carrying, a red ball ran across the park.,mistral:latest
771,People near railroad tracks, should evacuate immediately due to an oncoming train.,mistral:latest
772,"Two women in front of a white building,", were discussing their shared past experiences.,mistral:latest
773,A man wearing glasses and a black shirt is seen, entering the room cautiously,mistral:latest
774,The little girl is, crying because she lost her favorite toy.,mistral:latest
775,A male and three females are looking over a, blueprint for their new house design,mistral:latest
776,Women with their luggage waiting, for their flight to depart,mistral:latest
777,A young boy sit alone in a wagon and holds on tightly to two cattle, because he's afraid they might run away,mistral:latest
778,Bicyclists have stopped and, are waiting for a red light to change,mistral:latest
779,A man pushes a child in a blue, stroller because he's trying to teach him how to walk.,mistral:latest
780,People wander through, ...the labyrinthine streets of Venice,mistral:latest
781,A woman with glasses and her hair in a braid and a girl wearing a hoodie and jeans are standing in a kitchen, ...arguing over who should clean up after dinner.,mistral:latest
782,Two black men playing, basketball on the court.,mistral:latest
783,"Three different people, all wearing light colored tops and dark", jeans approached each other cautiously.,mistral:latest
784,Motorcycle daredevil on, tried a dangerous stunt,mistral:latest
785,Person with a blue and, scarf around their neck approached the stage.,mistral:latest
786,"A tall, slightly overweight guy with brownish", hair walked confidently into the room.,mistral:latest
787,"A man with long brown hair, wearing a dark jacket, brown graphic t-shirt, and blue jeans", entered the room quietly.,mistral:latest
788,An older woman is lying," on a park bench, lost in thought.",mistral:latest
789,"A small child wearing a pink hat, blue jeans, and", ran excitedly towards the ice cream truck.,mistral:latest
790,Group of people in a, were discussing their shared memories,mistral:latest
791,Kids riding behind an, their parents on bicycles,mistral:latest
792,Two women walk on a sidewalk, ...because they were deep in conversation.,mistral:latest
793,People are waiting in, line for their turn to get vaccinated.,mistral:latest
794,"Men standing in a sand covered park, in", were discussing their plans for an archaeological dig.,mistral:latest
795,An Arabic man sitting down looking, at a map to find his way home.,mistral:latest
796,An older man stand outside, ...waiting for his bus to arrive,mistral:latest
797,"Five people, some of them children", were trying to cross a busy road without looking both ways.,mistral:latest
798,A man and his dog are, running through a field together,mistral:latest
799,Two women and a man are all, arguing over who should pay for dinner.,mistral:latest
800,"Two children, one in a red jacket and another in a"," blue dress, were playing tag near the park.",mistral:latest
801,A Father and son playing with a wooden, toy boat on the lake.,mistral:latest
802,Three women walk through a,"...the park, chatting excitedly about their upcoming vacation.",mistral:latest
803,An older lady in a dining area, ...was reminiscing about her youthful days.,mistral:latest
804,A gathering of, people was planned for next weekend.,mistral:latest
805,Two black dogs are jumping in, over the fence,mistral:latest
806,A yellow Labrador running, through a field chasing butterflies,mistral:latest
807,People wait for their order at, restaurants when they are hungry,mistral:latest
808,A child is playing the accordion, because his grandmother taught him how to play it beautifully.,mistral:latest
809,A white woman wearing white pants and a black top, walked into the art gallery confidently,mistral:latest
810,Employees at a sushi restaurant prepare, delicious rolls for customers to enjoy,mistral:latest
811,The girl is rolling up a, her sleeves to start painting,mistral:latest
812,A young model poses for her, a photoshoot at New York Fashion Week,mistral:latest
813,A man sitting on a wall and, watching the sunset.,mistral:latest
814,A person in tan pants is shaving skin off, a tanning bed or using a dermabrasion tool.,mistral:latest
815,A young man is, trying to find a job after graduating from college.,mistral:latest
816,A man and a woman wear gloves, ...because it was freezing outside,mistral:latest
817,Several people are gathered in a room with, ...to discuss important decisions.,mistral:latest
818,A boy is, playing hide-and-seek with his friends.,mistral:latest
819,A man playing a musical instrument, on the street corner to entertain passersby,mistral:latest
820,A photo shoot is talking place with, models walking down a runway,mistral:latest
821,A middle eastern woman is weaving, a beautiful carpet using traditional techniques,mistral:latest
822,A man is playing the, guitar very loudly.,mistral:latest
823,A group of people gather with only their legs showing, ...in a pool for a water aerobics class,mistral:latest
824,A security officer, was investigating a suspicious activity,mistral:latest
825,Two dogs begging a partially seen person, for food near their bowl,mistral:latest
826,A man in a white suit, walked into the room unexpectedly,mistral:latest
827,A woman gives the thumbs, up to indicate approval,mistral:latest
828,photographers are taking pictures, because they wanted to capture every moment.,mistral:latest
829,A tired woman rests her head on," against a windowpane, watching the world go by.",mistral:latest
830,A man is cleaning the, his house thoroughly before guests arrive,mistral:latest
831,A sports team all dressed in blue, played their next game against a rival team.,mistral:latest
832,Two dogs playing together, suddenly started to growl at each other.,mistral:latest
833,"A woman in a kitchen, leaps in the air while attempting", to catch a falling pot on fire,mistral:latest
834,A man and a woman are up on a, mountain discussing their future plans.,mistral:latest
835,"A man in a blue, yellow and", red striped shirt walked down the street.,mistral:latest
836,A man in a red jacket and, ...was standing mysteriously by the fountain.,mistral:latest
837,A woman in a black blouse carrying a phone, walked hurriedly down the street.,mistral:latest
838,A child in a red shirt rides a zip-line while, screaming with delight,mistral:latest
839,Two college students talking about, their upcoming exams and study plans,mistral:latest
840,"A Caucasian mat sits passively with his eyes closed as he gets his longer,", dreams interpreted by a wise old woman.,mistral:latest
841,A woman is holding a baby, because she couldn't bear to leave it alone.,mistral:latest
842,A child is stretching out a slinky while, trying to see how far it will go,mistral:latest
843,A man sits at," a table, deep in thought",mistral:latest
844,A man is being suspended in some sort of," a harness, for his reckless stunt.",mistral:latest
845,A man in glasses and wearing a, trench coat walked down the street.,mistral:latest
846,A man is riding a bicycle outfitted with a, unusual collection of gadgets on it.,mistral:latest
847,One girl is helping another to take, a picture of herself,mistral:latest
848,"With the night sky in the background, an extreme snowboarder launches himself, off four wooden", into a series of giant air jumps.,mistral:latest
849,"As part of an audience, a woman in a black top", began to feel uncomfortable when she noticed unwanted attention from the performer.,mistral:latest
850,The man in the gray shirt is filling in post holes, for his new fence construction,mistral:latest
851,A guy and girl waling with, down a dark alley together,mistral:latest
852,A water bird standing, on one leg in a pond,mistral:latest
853,Guy jumping in front of, a moving car,mistral:latest
854,Two men appear to, be arguing over a misunderstanding.,mistral:latest
855,Three people standing in line at a store and one, were arguing over who got to be next,mistral:latest
856,Two men are trimming palm trees and, they needed to be prepared for hurricane season.,mistral:latest
857,Chef in an apron using a knife to cut, vegetables for tonight's dinner,mistral:latest
858,A man and woman, were arguing over a misunderstanding,mistral:latest
859,A brown dog and a black dog, were playing fetch together,mistral:latest
860,A woman crosses the street near a, busy intersection.,mistral:latest
861,A male driving a bulldozer to, crashed into a construction site,mistral:latest
862,Male vendors are selling fruit in an, open-air market,mistral:latest
863,A team mascot raising, money for charity during halftime,mistral:latest
864,A boy wearing black pants and gray, shirt ran excitedly towards the ice cream truck.,mistral:latest
865,Three men wearing hats are sitting, ...on a bench discussing their next move.,mistral:latest
866,A little girl frozen as a Praying, Maiden by an ancient spell.,mistral:latest
867,Three students standing together in, were discussing their upcoming project.,mistral:latest
868,Someone walking along, a quiet path suddenly stumbled upon an ancient treasure.,mistral:latest
869,Five children are playing, near the busy road without adult supervision.,mistral:latest
870,"Swim meet showing one swimmer in action,", ...the other swimmers were eagerly watching their performance.,mistral:latest
871,Rock band performing on, stage at full volume,mistral:latest
872,A boy with swimming trunks and goggles jumping, into the pool,mistral:latest
873,A dog is jumping, over the fence,mistral:latest
874,The man in the gray hooded, jacket had stolen my wallet.,mistral:latest
875,A woman wearing black, entered the room mysteriously,mistral:latest
876,A teenager is riding a skateboard, downhill at breakneck speed,mistral:latest
877,The boy is going to, school tomorrow,mistral:latest
878,A basketball player in a blue, jersey scored a three-pointer,mistral:latest
879,A man has a hardcover illustrated book open in front," of him, eagerly flipping through its pages.",mistral:latest
880,A band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across, were performing an impromptu concert at the park.,mistral:latest
881,Three boys playing, near each other without sharing their toys.,mistral:latest
882,A brown and white dog with a pink Frisbee in its mouth leaps through the, ...to catch it again and bring it back to play.,mistral:latest
883,"Two women, having drinks, are sitting down", at a table discussing their shared past experiences,mistral:latest
884,"A man wearing a white construction hat, gray shirt and holding a yellow and", hardhat walked onto the construction site.,mistral:latest
885,A boy is in midair after jumping, off a diving board,mistral:latest
886,A man wearing a black shirt and, glasses approached her cautiously.,mistral:latest
887,A little boy is watching, a cartoon show on TV.,mistral:latest
888,A little boy in a blue jacket, ...was lost in the crowd.,mistral:latest
889,A muscular boy is in a gym and is using, heavy weights for his workout routine.,mistral:latest
890,The little girl is riding, her bicycle around the park,mistral:latest
891,the young children are, playing games on their new toys.,mistral:latest
892,A man in a black knit hat is, walking his dog near the park,mistral:latest
893,Some people are gathered in front of a building, ...because they heard gunshots inside.,mistral:latest
894,A couple of people survey, were discussing their travel plans for next summer.,mistral:latest
895,A woman crossing, a busy street suddenly heard loud honking.,mistral:latest
896,A little girl sits on the beach digging in, a sandcastle with her small plastic shovel,mistral:latest
897,a young skateboarder jumping a, over a gap in the sidewalk,mistral:latest
898,One boy is trying to kiss another, because neither of them realized they were both interested in someone else.,mistral:latest
899,A competition snowmobiler is, about to race through treacherous terrain,mistral:latest
900,a brown and white dog with his tongue, out hanging from the car window,mistral:latest
901,Man with a musical instrument, was trying to create beautiful melodies,mistral:latest
902,A girl with blond-hair is holding a bottle and wearing a, ...a red dress at the beach party.,mistral:latest
903,An adult woman holding an umbrella is, walking through a crowded street during a heavy downpour.,mistral:latest
904,A woman is ordering food from a market, because she didn't feel like cooking tonight,mistral:latest
905,A woman in jeans sits next to a, man wearing a suit,mistral:latest
906,there are two children walking along a beach, ...and they found a hidden treasure chest.,mistral:latest
907,a man wearing a blue shirt smoking a, cigar on the balcony.,mistral:latest
908,A man with black hair and a black mustache sitting down and putting his, ...a glass of whiskey on the table.,mistral:latest
909,A person is drawing body, a beautiful portrait of themselves,mistral:latest
910,A violinist playing at, a concert hall during intermission.,mistral:latest
911,A woman wearing a white shirt and gray shorts, walked her dog near the park.,mistral:latest
912,A dog leans off the dock to, grab a stick from the water,mistral:latest
913,"A band, including some guitarists and a"," drummer, decided to perform a cover of Bohemian Rhapsody.",mistral:latest
914,A person falls into the mud while, trying to cross a field without a path.,mistral:latest
915,Man in uniform waiting, for his bus to arrive,mistral:latest
916,Two puppies play with a red, ball vigorously,mistral:latest
917,An audience is watching, a captivating performance unfold,mistral:latest
918,A smiling man with a beard holds up a poster showing an," that says ""I'm running for mayor""",mistral:latest
919,The man in sunglasses waited for the green crocodiles' mouth, to open wide enough to swallow his prey,mistral:latest
920,A man rides his, bicycle through a busy street,mistral:latest
921,A elderly women sitting in a coffee shop,...was engrossed in her knitting.,mistral:latest
922,A person is watching a TV, show because they find it interesting,mistral:latest
923,A father feeding his, a hungry baby,mistral:latest
924,A middle-aged biker sat on the side of," the road, nursing a broken leg",mistral:latest
925,Cowboy at a rodeo hurls his, lasso towards the bull,mistral:latest
926,A group of five men dressed in tan are in, ...standing outside a bank.,mistral:latest
